InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	455.41	4870	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
1	482.42	9190	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
2	222.03	3850	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
3	408.59	10490	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
4	481.33	5700	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
5	482.56	7210	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
6	461.69	6930	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
7	436.06	6610	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
8	409.38	5120	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
9	474.72	5080	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
10	371.04	5160	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
11	448.34	3960	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
12	373.18	4720	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
13	478.27	5840	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
14	418.67	8330	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
15	411.17	5160	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
16	438.34	5590	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
17	95.93	3560	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
18	462.78	12960	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
19	395.72	6150	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
20	393.95	5810	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
21	500.2	6240	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
22	409.74	5450	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
23	376.68	4800	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
24	455.55	5110	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
25	466.4	5090	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
26	442.16	7240	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
27	441.48	5670	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
28	387.62	7500	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
29	396.23	6180	LS_RAND	DPOP	FINITE_HORIZON	5	50.0	0.9	10
