InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	454.61	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
1	481.08	30	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
2	368.97	30	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
3	417.27	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
4	480.48	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
5	481.59	20	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
6	460.11	50	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
7	430.09	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
8	408.33	30	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
9	473.67	20	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
10	371.45	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
11	446.86	20	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
12	458.09	50	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
13	477.08	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
14	414.1	30	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
15	410.16	30	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
16	437.4	60	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
17	399.95	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
18	461.47	30	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
19	416.22	20	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
20	403.78	30	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
21	499.35	70	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
22	409.16	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
23	397.73	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
24	454.76	30	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
25	464.84	50	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
26	441.53	30	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
27	446	20	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
28	445.59	50	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
29	420.29	40	BACKWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
