InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	436.65	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
1	481.08	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
2	362.06	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
3	408.44	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
4	480.48	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
5	481.59	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
6	460.11	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
7	434.47	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
8	408.33	20	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
9	473.67	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
10	373.57	60	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
11	446.86	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
12	450.72	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
13	477.08	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
14	417.74	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
15	410.16	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
16	437.4	70	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
17	399.95	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
18	461.47	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
19	416.22	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
20	393.06	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
21	499.35	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
22	409.16	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
23	397.73	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
24	454.76	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
25	464.84	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
26	441.53	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
27	440.2	50	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
28	445.59	30	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
29	420.29	40	FORWARD	DPOP	FINITE_HORIZON	5	50.0	0.9	8
