InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	454.95	550	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
1	481.66	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
2	369.33	1310	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
3	417.84	1830	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
4	480.85	40	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
5	482.01	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
6	460.79	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
7	430.46	3290	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
8	408.79	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
9	474.13	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
10	-89.52	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
11	447.5	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
12	458.74	560	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
13	477.59	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
14	347.76	520	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
15	410.58	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
16	437.81	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
17	400.35	30	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
18	462.03	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
19	416.63	40	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
20	247.1	670	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
21	499.72	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
22	409.41	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
23	398.15	40	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
24	455.1	10	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
25	465.53	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
26	441.81	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
27	446.62	970	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
28	446.04	20	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
29	420.72	60	LS_SDPOP	DPOP	FINITE_HORIZON	5	50.0	0.9	9
