Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-692.19	10	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
0	-427.68	230	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
1	-211.43	290	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
2	153.29	340	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
3	156.23	390	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
4	156.23	440	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
5	156.23	490	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
6	156.23	540	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
7	156.23	600	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
8	156.23	650	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
9	156.23	700	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
10	156.23	750	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
11	156.23	800	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
12	156.23	860	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
13	156.23	920	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
14	156.23	970	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
15	156.23	1020	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
16	156.23	1070	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
17	156.23	1110	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
18	156.23	1160	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
19	156.23	1210	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
20	156.23	1260	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
21	156.23	1300	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
22	156.23	1350	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
23	156.23	1400	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
24	156.23	1450	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
25	156.23	1500	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
26	156.23	1550	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
27	156.23	1600	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
28	156.23	1650	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
29	156.23	1690	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
30	156.23	1740	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
31	156.23	1790	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
32	156.23	1850	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
33	156.23	1890	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
34	156.23	1930	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
35	156.23	1980	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
36	156.23	2030	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
37	156.23	2080	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
38	156.23	2130	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
39	156.23	2170	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
40	156.23	2220	3	INFINITE_HORIZON	LS_RAND	DPOP	5	50.0	0.9	8
