Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-779.77	70	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
0	-348.17	240	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
1	-106.45	280	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
2	149.06	330	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
3	202.83	370	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
4	215.75	420	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
5	218.81	460	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
6	221.57	500	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
7	221.57	540	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
8	221.57	580	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
9	221.57	620	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
10	221.57	660	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
11	221.57	700	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
12	221.57	740	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
13	221.57	780	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
14	221.57	820	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
15	221.57	860	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
16	221.57	900	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
17	221.57	940	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
18	221.57	980	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
19	221.57	1020	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
20	221.57	1060	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
21	221.57	1100	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
22	221.57	1140	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
23	221.57	1180	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
24	221.57	1220	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
25	221.57	1260	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
26	221.57	1300	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
27	221.57	1340	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
28	221.57	1380	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
29	221.57	1420	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
30	221.57	1460	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
31	221.57	1500	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
32	221.57	1540	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
33	221.57	1580	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
34	221.57	1620	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
35	221.57	1660	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
36	221.57	1700	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
37	221.57	1740	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
38	221.57	1770	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
39	221.57	1800	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
40	221.57	1830	13	INFINITE_HORIZON	LS_RAND	MGM	5	50.0	0.9	8
