Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	130.73	20	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
0	130.73	30	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
1	130.73	30	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
2	130.73	30	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
3	130.73	40	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
4	130.73	40	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
5	130.73	40	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
6	130.73	40	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
7	130.73	50	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
8	130.73	50	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
9	130.73	50	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
10	130.73	50	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
11	130.73	50	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
12	130.73	60	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
13	130.73	60	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
14	130.73	70	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
15	130.73	70	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
16	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
17	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
18	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
19	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
20	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
21	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
22	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
23	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
24	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
25	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
26	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
27	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
28	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
29	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
30	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
31	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
32	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
33	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
34	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
35	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
36	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
37	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
38	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
39	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
40	130.73	80	6	INFINITE_HORIZON	LS_SDPOP	DPOP	5	50.0	0.9	2
