Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-410.05	200	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
0	-159.55	230	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
1	-0.45	250	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
2	61.96	270	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
3	69.08	290	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
4	69.08	300	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
5	69.08	310	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
6	69.08	320	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
7	69.08	330	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
8	69.08	340	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
9	69.08	340	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
10	69.08	340	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
11	69.08	340	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
12	69.08	340	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
13	69.08	350	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
14	69.08	350	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
15	69.08	350	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
16	69.08	350	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
17	69.08	360	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
18	69.08	370	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
19	69.08	370	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
20	69.08	380	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
21	69.08	380	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
22	69.08	380	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
23	69.08	380	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
24	69.08	380	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
25	69.08	380	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
26	69.08	390	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
27	69.08	390	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
28	69.08	390	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
29	69.08	390	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
30	69.08	390	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
31	69.08	390	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
32	69.08	390	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
33	69.08	390	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
34	69.08	390	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
35	69.08	400	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
36	69.08	410	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
37	69.08	410	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
38	69.08	410	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
39	69.08	410	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
40	69.08	410	19	INFINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
