InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	125.32	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
1	134.17	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
2	99.27	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
3	115.14	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
4	134.1	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
5	134.18	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
6	120.43	50	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
7	121.52	50	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
8	114.77	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
9	130.99	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
10	104.78	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
11	126.89	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
12	122.95	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
13	126.33	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
14	113.69	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
15	114.3	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
16	121.08	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
17	110.74	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
18	126.7	10	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
19	117.28	10	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
20	110.48	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
21	138.4	50	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
22	112.53	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
23	104.69	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
24	126.07	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
25	131.15	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
26	123.71	20	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
27	124.76	10	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
28	124.94	30	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
29	116.88	40	BACKWARD	MGM	INFINITE_HORIZON	5	50.0	0.9	2
