InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	114.54	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
1	170.54	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
2	-3.62	10	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
3	-78.44	40	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
4	169.8	20	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
5	170.25	20	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
6	165.81	40	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
7	-24.55	20	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
8	145.57	40	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
9	166.84	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
10	133.01	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
11	160.85	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
12	119.03	20	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
13	169.38	50	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
14	147.6	20	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
15	145.01	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
16	153.93	20	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
17	140.85	40	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
18	164.82	40	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
19	148.41	40	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
20	-37.58	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
21	175.65	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
22	142.98	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
23	140.66	20	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
24	159.99	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
25	166.67	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
26	156.32	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
27	24.4	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
28	158.52	40	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
29	148.58	30	FORWARD	DPOP	INFINITE_HORIZON	5	50.0	0.9	3
