InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	166.79	280	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
1	192.72	250	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
2	82.87	300	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
3	121.94	260	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
4	166.65	250	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
5	168.17	290	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
6	181.35	230	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
7	120.37	270	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
8	125.06	240	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
9	161.05	250	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
10	135.2	250	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
11	119.51	240	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
12	130	240	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
13	217.97	290	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
14	163.39	230	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
15	140.47	250	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
16	91.91	230	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
17	72.6	220	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
18	157.12	280	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
19	65.85	220	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
20	196.31	270	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
21	180.62	250	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
22	94.37	310	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
23	109.4	210	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
24	134.04	250	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
25	164.73	260	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
26	200.05	270	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
27	175.59	300	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
28	150.01	250	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
29	110.61	280	LS_RAND	DPOP	INFINITE_HORIZON	5	50.0	0.9	7
