InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	302.86	300	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
1	324.52	20	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
2	237.35	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
3	281.66	20	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
4	320.8	40	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
5	322.29	20	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
6	313.83	20	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
7	294.94	10	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
8	275.39	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
9	317.25	20	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
10	165.47	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
11	304.23	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
12	290.58	320	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
13	321.11	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
14	280.04	40	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
15	275.85	40	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
16	292.68	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
17	267.89	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
18	312.21	20	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
19	279.85	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
20	264.2	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
21	332.71	10	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
22	206.35	20	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
23	179.25	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
24	303.22	40	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
25	316.18	20	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
26	293.97	40	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
27	303.02	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
28	299.56	30	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
29	271.55	60	LS_SDPOP	DPOP	INFINITE_HORIZON	5	50.0	0.9	9
