InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	302.86	610	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
1	324.52	820	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
2	153.81	710	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
3	272.93	830	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
4	278.85	630	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
5	322.29	690	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
6	313.83	560	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
7	294.94	480	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
8	275.39	730	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
9	317.25	710	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
10	165.47	650	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
11	260.45	730	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
12	267.44	510	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
13	275.07	530	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
14	229.07	790	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
15	275.85	520	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
16	203.92	860	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
17	247.7	800	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
18	312.21	710	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
19	279.85	710	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
20	185.94	790	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
21	332.71	600	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
22	271.33	710	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
23	187.3	690	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
24	281.7	780	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
25	241.91	620	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
26	293.97	1030	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
27	238.12	630	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
28	299.56	560	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
29	73.69	510	LS_SDPOP	MGM	INFINITE_HORIZON	5	50.0	0.9	9
