InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	80	FORWARD	MGM	ONLINE	10	0.0	0.9	10
1	-∞	90	FORWARD	MGM	ONLINE	10	0.0	0.9	10
2	-∞	70	FORWARD	MGM	ONLINE	10	0.0	0.9	10
3	-∞	60	FORWARD	MGM	ONLINE	10	0.0	0.9	10
4	-∞	110	FORWARD	MGM	ONLINE	10	0.0	0.9	10
5	-∞	70	FORWARD	MGM	ONLINE	10	0.0	0.9	10
6	-∞	60	FORWARD	MGM	ONLINE	10	0.0	0.9	10
7	-∞	60	FORWARD	MGM	ONLINE	10	0.0	0.9	10
8	-∞	100	FORWARD	MGM	ONLINE	10	0.0	0.9	10
9	-∞	70	FORWARD	MGM	ONLINE	10	0.0	0.9	10
10	-∞	80	FORWARD	MGM	ONLINE	10	0.0	0.9	10
11	-∞	50	FORWARD	MGM	ONLINE	10	0.0	0.9	10
12	-∞	80	FORWARD	MGM	ONLINE	10	0.0	0.9	10
13	-∞	60	FORWARD	MGM	ONLINE	10	0.0	0.9	10
14	-∞	70	FORWARD	MGM	ONLINE	10	0.0	0.9	10
15	-∞	60	FORWARD	MGM	ONLINE	10	0.0	0.9	10
16	-∞	60	FORWARD	MGM	ONLINE	10	0.0	0.9	10
17	-∞	60	FORWARD	MGM	ONLINE	10	0.0	0.9	10
18	-∞	50	FORWARD	MGM	ONLINE	10	0.0	0.9	10
19	-∞	90	FORWARD	MGM	ONLINE	10	0.0	0.9	10
20	-∞	90	FORWARD	MGM	ONLINE	10	0.0	0.9	10
21	-∞	80	FORWARD	MGM	ONLINE	10	0.0	0.9	10
22	-∞	70	FORWARD	MGM	ONLINE	10	0.0	0.9	10
23	-∞	80	FORWARD	MGM	ONLINE	10	0.0	0.9	10
24	-∞	80	FORWARD	MGM	ONLINE	10	0.0	0.9	10
25	-∞	50	FORWARD	MGM	ONLINE	10	0.0	0.9	10
26	-∞	60	FORWARD	MGM	ONLINE	10	0.0	0.9	10
27	-∞	70	FORWARD	MGM	ONLINE	10	0.0	0.9	10
28	-∞	40	FORWARD	MGM	ONLINE	10	0.0	0.9	10
29	-∞	60	FORWARD	MGM	ONLINE	10	0.0	0.9	10
