InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1486.27	29370	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
1	1503.41	9400	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
2	1362.31	2030	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
3	1507.01	8981780	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
4	1449.44	1930	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
5	1454.5	28720	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
6	1475.96	22360	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
7	1494.21	246630	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
8	1413.36	216050	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
9	1536.12	304300	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
10	1439.69	22210	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
11	1531.65	23570	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
12	1409.76	44000	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
13	1486.64	20720	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
14	1487.6	1940	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
15	1471.01	25640	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
16	1604.32	525980	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
17	1500.29	2500	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
18	1480.22	12130	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
19	1481.33	504300	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
20	1527.04	12440	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
21	1469.63	8650	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
22	1554.1	2300	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
23	1510.1	7810	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
24	1458.93	15780	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
25	1501.59	10970	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
26	1491.44	31310	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
27	1457	1440	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
28	1428.26	810	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
29	1527.79	10310	HYBRID	DPOP	ONLINE	10	10.0	0.9	10
