InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1132.88	29740	REACT	DPOP	ONLINE	10	2.0	0.9	10
1	1079.48	9490	REACT	DPOP	ONLINE	10	2.0	0.9	10
2	944.32	2030	REACT	DPOP	ONLINE	10	2.0	0.9	10
3	1120.12	8924150	REACT	DPOP	ONLINE	10	2.0	0.9	10
4	991.78	1980	REACT	DPOP	ONLINE	10	2.0	0.9	10
5	1011.85	28610	REACT	DPOP	ONLINE	10	2.0	0.9	10
6	1105.28	22170	REACT	DPOP	ONLINE	10	2.0	0.9	10
7	1112.68	244590	REACT	DPOP	ONLINE	10	2.0	0.9	10
8	1058.82	205170	REACT	DPOP	ONLINE	10	2.0	0.9	10
9	1095.96	307150	REACT	DPOP	ONLINE	10	2.0	0.9	10
10	1026.73	22010	REACT	DPOP	ONLINE	10	2.0	0.9	10
11	1205.68	23790	REACT	DPOP	ONLINE	10	2.0	0.9	10
12	983.84	44160	REACT	DPOP	ONLINE	10	2.0	0.9	10
13	1067.8	20870	REACT	DPOP	ONLINE	10	2.0	0.9	10
14	1092.26	2220	REACT	DPOP	ONLINE	10	2.0	0.9	10
15	1015.21	25740	REACT	DPOP	ONLINE	10	2.0	0.9	10
16	1201.28	521680	REACT	DPOP	ONLINE	10	2.0	0.9	10
17	1115.4	2470	REACT	DPOP	ONLINE	10	2.0	0.9	10
18	1038.25	12180	REACT	DPOP	ONLINE	10	2.0	0.9	10
19	1030.51	507730	REACT	DPOP	ONLINE	10	2.0	0.9	10
20	1086.91	12560	REACT	DPOP	ONLINE	10	2.0	0.9	10
21	1010.66	8750	REACT	DPOP	ONLINE	10	2.0	0.9	10
22	1146.91	2510	REACT	DPOP	ONLINE	10	2.0	0.9	10
23	1057.86	7970	REACT	DPOP	ONLINE	10	2.0	0.9	10
24	1049.53	15830	REACT	DPOP	ONLINE	10	2.0	0.9	10
25	1097.81	10720	REACT	DPOP	ONLINE	10	2.0	0.9	10
26	1024.4	32600	REACT	DPOP	ONLINE	10	2.0	0.9	10
27	1008.42	1390	REACT	DPOP	ONLINE	10	2.0	0.9	10
28	991.34	840	REACT	DPOP	ONLINE	10	2.0	0.9	10
29	1165.91	10520	REACT	DPOP	ONLINE	10	2.0	0.9	10
