InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	12597.81	38300	REACT	DPOP	ONLINE	10	4.0	0.9	10
1	12563.14	3780	REACT	DPOP	ONLINE	10	4.0	0.9	10
2	13172.11	50880	REACT	DPOP	ONLINE	10	4.0	0.9	10
3	11911.69	816300	REACT	DPOP	ONLINE	10	4.0	0.9	10
4	12119.59	500080	REACT	DPOP	ONLINE	10	4.0	0.9	10
5	12133.15	3880	REACT	DPOP	ONLINE	10	4.0	0.9	10
6	12430.3	32170	REACT	DPOP	ONLINE	10	4.0	0.9	10
7	11725.51	32810	REACT	DPOP	ONLINE	10	4.0	0.9	10
8	12027.52	67370	REACT	DPOP	ONLINE	10	4.0	0.9	10
9	12494.06	2600	REACT	DPOP	ONLINE	10	4.0	0.9	10
10	11914.23	3850	REACT	DPOP	ONLINE	10	4.0	0.9	10
11	11652.21	59390	REACT	DPOP	ONLINE	10	4.0	0.9	10
12	12500.1	3920	REACT	DPOP	ONLINE	10	4.0	0.9	10
13	12390.44	977230	REACT	DPOP	ONLINE	10	4.0	0.9	10
14	11388.69	23220	REACT	DPOP	ONLINE	10	4.0	0.9	10
15	11791.02	20240	REACT	DPOP	ONLINE	10	4.0	0.9	10
16	12023.25	4330	REACT	DPOP	ONLINE	10	4.0	0.9	10
17	12469.24	3830	REACT	DPOP	ONLINE	10	4.0	0.9	10
18	12397.65	23150	REACT	DPOP	ONLINE	10	4.0	0.9	10
19	11263.4	22020	REACT	DPOP	ONLINE	10	4.0	0.9	10
20	11771.36	517000	REACT	DPOP	ONLINE	10	4.0	0.9	10
21	12035.91	1020020	REACT	DPOP	ONLINE	10	4.0	0.9	10
22	12492.88	3090	REACT	DPOP	ONLINE	10	4.0	0.9	10
23	11980.03	19680	REACT	DPOP	ONLINE	10	4.0	0.9	10
24	12097.45	32460	REACT	DPOP	ONLINE	10	4.0	0.9	10
25	12755.51	52300	REACT	DPOP	ONLINE	10	4.0	0.9	10
26	12114.56	22190	REACT	DPOP	ONLINE	10	4.0	0.9	10
27	12016.11	60980	REACT	DPOP	ONLINE	10	4.0	0.9	10
28	12663.79	39640	REACT	DPOP	ONLINE	10	4.0	0.9	10
29	12056.23	525760	REACT	DPOP	ONLINE	10	4.0	0.9	10
30	12419.43	2620	REACT	DPOP	ONLINE	10	4.0	0.9	10
31	12065.94	20370	REACT	DPOP	ONLINE	10	4.0	0.9	10
32	11613.22	43200	REACT	DPOP	ONLINE	10	4.0	0.9	10
33	11709.57	36790	REACT	DPOP	ONLINE	10	4.0	0.9	10
34	12101.2	568360	REACT	DPOP	ONLINE	10	4.0	0.9	10
35	11908.87	48910	REACT	DPOP	ONLINE	10	4.0	0.9	10
36	11926.1	50600	REACT	DPOP	ONLINE	10	4.0	0.9	10
37	12734.04	2710	REACT	DPOP	ONLINE	10	4.0	0.9	10
38	12323.69	2490	REACT	DPOP	ONLINE	10	4.0	0.9	10
39	11742.41	2450	REACT	DPOP	ONLINE	10	4.0	0.9	10
40	11609.42	3370	REACT	DPOP	ONLINE	10	4.0	0.9	10
41	11363.35	4010	REACT	DPOP	ONLINE	10	4.0	0.9	10
42	12020.55	38920	REACT	DPOP	ONLINE	10	4.0	0.9	10
43	12263.43	1670	REACT	DPOP	ONLINE	10	4.0	0.9	10
44	12159.71	5910	REACT	DPOP	ONLINE	10	4.0	0.9	10
45	12712.5	22260	REACT	DPOP	ONLINE	10	4.0	0.9	10
46	12412.32	20700	REACT	DPOP	ONLINE	10	4.0	0.9	10
47	11928.97	22560	REACT	DPOP	ONLINE	10	4.0	0.9	10
48	12775.26	23450	REACT	DPOP	ONLINE	10	4.0	0.9	10
49	12296.77	4230	REACT	DPOP	ONLINE	10	4.0	0.9	10
