InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	15727.34	240	HYBRID	MGM	ONLINE	10	6.0	0.9	10
1	15675.66	150	HYBRID	MGM	ONLINE	10	6.0	0.9	10
2	15077.19	220	HYBRID	MGM	ONLINE	10	6.0	0.9	10
3	15129.28	140	HYBRID	MGM	ONLINE	10	6.0	0.9	10
4	14587.76	180	HYBRID	MGM	ONLINE	10	6.0	0.9	10
5	15453.79	170	HYBRID	MGM	ONLINE	10	6.0	0.9	10
6	14889.58	130	HYBRID	MGM	ONLINE	10	6.0	0.9	10
7	14814.43	170	HYBRID	MGM	ONLINE	10	6.0	0.9	10
8	15119.68	190	HYBRID	MGM	ONLINE	10	6.0	0.9	10
9	15121.02	200	HYBRID	MGM	ONLINE	10	6.0	0.9	10
10	14845.43	180	HYBRID	MGM	ONLINE	10	6.0	0.9	10
11	14745.76	180	HYBRID	MGM	ONLINE	10	6.0	0.9	10
12	15637.12	180	HYBRID	MGM	ONLINE	10	6.0	0.9	10
13	15382.02	260	HYBRID	MGM	ONLINE	10	6.0	0.9	10
14	14666.35	180	HYBRID	MGM	ONLINE	10	6.0	0.9	10
15	14883.13	180	HYBRID	MGM	ONLINE	10	6.0	0.9	10
16	14735.56	150	HYBRID	MGM	ONLINE	10	6.0	0.9	10
17	16152.79	230	HYBRID	MGM	ONLINE	10	6.0	0.9	10
18	15454.16	220	HYBRID	MGM	ONLINE	10	6.0	0.9	10
19	14635.04	220	HYBRID	MGM	ONLINE	10	6.0	0.9	10
20	15127.57	200	HYBRID	MGM	ONLINE	10	6.0	0.9	10
21	14912.48	180	HYBRID	MGM	ONLINE	10	6.0	0.9	10
22	15241.66	120	HYBRID	MGM	ONLINE	10	6.0	0.9	10
23	15068.92	210	HYBRID	MGM	ONLINE	10	6.0	0.9	10
24	15239.8	230	HYBRID	MGM	ONLINE	10	6.0	0.9	10
25	14910.12	240	HYBRID	MGM	ONLINE	10	6.0	0.9	10
26	15158.02	230	HYBRID	MGM	ONLINE	10	6.0	0.9	10
27	15452.98	170	HYBRID	MGM	ONLINE	10	6.0	0.9	10
28	15610.55	180	HYBRID	MGM	ONLINE	10	6.0	0.9	10
29	14862.13	120	HYBRID	MGM	ONLINE	10	6.0	0.9	10
