InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	11521.34	210	REACT	MGM	ONLINE	10	20.0	0.9	10
1	11768.84	190	REACT	MGM	ONLINE	10	20.0	0.9	10
2	12512.29	230	REACT	MGM	ONLINE	10	20.0	0.9	10
3	11414.55	200	REACT	MGM	ONLINE	10	20.0	0.9	10
4	11045.34	180	REACT	MGM	ONLINE	10	20.0	0.9	10
5	11639.63	190	REACT	MGM	ONLINE	10	20.0	0.9	10
6	11770.13	140	REACT	MGM	ONLINE	10	20.0	0.9	10
7	11318.91	200	REACT	MGM	ONLINE	10	20.0	0.9	10
8	11748.13	190	REACT	MGM	ONLINE	10	20.0	0.9	10
9	11597.33	150	REACT	MGM	ONLINE	10	20.0	0.9	10
10	10917.74	90	REACT	MGM	ONLINE	10	20.0	0.9	10
11	11200.82	240	REACT	MGM	ONLINE	10	20.0	0.9	10
12	11169.75	100	REACT	MGM	ONLINE	10	20.0	0.9	10
13	11355.33	170	REACT	MGM	ONLINE	10	20.0	0.9	10
14	10523.48	220	REACT	MGM	ONLINE	10	20.0	0.9	10
15	10878.92	180	REACT	MGM	ONLINE	10	20.0	0.9	10
16	10928.57	220	REACT	MGM	ONLINE	10	20.0	0.9	10
17	11281.61	140	REACT	MGM	ONLINE	10	20.0	0.9	10
18	11587.09	190	REACT	MGM	ONLINE	10	20.0	0.9	10
19	10745.68	190	REACT	MGM	ONLINE	10	20.0	0.9	10
20	11189.83	140	REACT	MGM	ONLINE	10	20.0	0.9	10
21	11139.38	230	REACT	MGM	ONLINE	10	20.0	0.9	10
22	11433.05	190	REACT	MGM	ONLINE	10	20.0	0.9	10
23	10917.62	130	REACT	MGM	ONLINE	10	20.0	0.9	10
24	11539.92	170	REACT	MGM	ONLINE	10	20.0	0.9	10
25	11231.03	230	REACT	MGM	ONLINE	10	20.0	0.9	10
26	11334.37	210	REACT	MGM	ONLINE	10	20.0	0.9	10
27	11353.01	230	REACT	MGM	ONLINE	10	20.0	0.9	10
28	11300.07	180	REACT	MGM	ONLINE	10	20.0	0.9	10
29	11254.57	200	REACT	MGM	ONLINE	10	20.0	0.9	10
