InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	15623.61	220	HYBRID	MGM	ONLINE	10	30.0	0.9	10
1	15363.79	210	HYBRID	MGM	ONLINE	10	30.0	0.9	10
2	15462.99	210	HYBRID	MGM	ONLINE	10	30.0	0.9	10
3	15453.79	200	HYBRID	MGM	ONLINE	10	30.0	0.9	10
4	14309.96	230	HYBRID	MGM	ONLINE	10	30.0	0.9	10
5	15674.15	270	HYBRID	MGM	ONLINE	10	30.0	0.9	10
6	16010.36	190	HYBRID	MGM	ONLINE	10	30.0	0.9	10
7	14810.6	300	HYBRID	MGM	ONLINE	10	30.0	0.9	10
8	15015.14	200	HYBRID	MGM	ONLINE	10	30.0	0.9	10
9	15609.65	230	HYBRID	MGM	ONLINE	10	30.0	0.9	10
10	15800.29	230	HYBRID	MGM	ONLINE	10	30.0	0.9	10
11	15030.26	310	HYBRID	MGM	ONLINE	10	30.0	0.9	10
12	15909.65	300	HYBRID	MGM	ONLINE	10	30.0	0.9	10
13	15240.1	240	HYBRID	MGM	ONLINE	10	30.0	0.9	10
14	14601.76	180	HYBRID	MGM	ONLINE	10	30.0	0.9	10
15	14810.27	250	HYBRID	MGM	ONLINE	10	30.0	0.9	10
16	15269.4	180	HYBRID	MGM	ONLINE	10	30.0	0.9	10
17	16526.36	270	HYBRID	MGM	ONLINE	10	30.0	0.9	10
18	15806.8	240	HYBRID	MGM	ONLINE	10	30.0	0.9	10
19	14161.1	210	HYBRID	MGM	ONLINE	10	30.0	0.9	10
20	15468.78	230	HYBRID	MGM	ONLINE	10	30.0	0.9	10
21	15007.94	250	HYBRID	MGM	ONLINE	10	30.0	0.9	10
22	15177.28	240	HYBRID	MGM	ONLINE	10	30.0	0.9	10
23	15017.35	200	HYBRID	MGM	ONLINE	10	30.0	0.9	10
24	15183.02	210	HYBRID	MGM	ONLINE	10	30.0	0.9	10
25	14994.42	180	HYBRID	MGM	ONLINE	10	30.0	0.9	10
26	15394.1	250	HYBRID	MGM	ONLINE	10	30.0	0.9	10
27	15979.94	210	HYBRID	MGM	ONLINE	10	30.0	0.9	10
28	15778.8	140	HYBRID	MGM	ONLINE	10	30.0	0.9	10
29	15334.84	230	HYBRID	MGM	ONLINE	10	30.0	0.9	10
