Horizon	Eff_Quality	Eff_SwitchingCost	Eff_SolvingTime	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	SwitchingCost	Horizon
-1	0	0	0	HYBRID	DPOP	ONLINE	10	10.0	10
0	4292	0	440	HYBRID	DPOP	ONLINE	10	10.0	10
1	4290	20	380	HYBRID	DPOP	ONLINE	10	10.0	10
2	4404	0	330	HYBRID	DPOP	ONLINE	10	10.0	10
3	4192	20	340	HYBRID	DPOP	ONLINE	10	10.0	10
4	4520	0	350	HYBRID	DPOP	ONLINE	10	10.0	10
5	4249.2	0	350	HYBRID	DPOP	ONLINE	10	10.0	10
6	4458	0	340	HYBRID	DPOP	ONLINE	10	10.0	10
7	4381.2	0	350	HYBRID	DPOP	ONLINE	10	10.0	10
8	4422	0	340	HYBRID	DPOP	ONLINE	10	10.0	10
9	4430	0	330	HYBRID	DPOP	ONLINE	10	10.0	10
10	4334	0	360	HYBRID	DPOP	ONLINE	10	10.0	10
