InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	14023.78	21290	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
1	14530.44	23690	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
2	15563.57	2160	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
3	14949.76	12920	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
4	14153.48	1590	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
5	14168.54	13360	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
6	13999.55	28210	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
7	14800.59	2640	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
8	15005.94	2370	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
9	15258.83	28340	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
10	15435.26	6760410	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
11	14642.81	2900	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
12	14688.04	2540	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
13	15004.68	567020	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
14	14587.55	20060	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
15	14693.89	22380	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
16	15035.06	2210	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
17	15832.75	16600	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
18	14667.04	19750	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
19	14609.85	14970	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
20	15060.59	10520	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
21	14882.38	10830	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
22	14578.91	22660	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
23	14881.1	14330	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
24	15835.88	23760	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
25	15253.44	21310	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
26	14330	16150	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
27	15528.7	12410	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
28	14540.87	22490	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
29	15010.18	13650	HYBRID	DPOP	ONLINE	10	14.0	0.9	10
