InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	14038.57	21470	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
1	14491.77	23550	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
2	15586.86	2140	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
3	15055.43	12910	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
4	14132.39	1570	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
5	14142.23	13630	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
6	13785.41	28320	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
7	14856.17	2720	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
8	15038.93	2250	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
9	15302.52	28270	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
10	15466.06	6724830	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
11	14685.1	2890	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
12	14606.08	2680	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
13	14977.52	564740	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
14	14556.38	19990	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
15	14628.41	23010	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
16	15045.79	2320	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
17	15858.99	16760	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
18	14674.83	19670	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
19	14597.13	14970	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
20	15011.58	10320	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
21	14885.99	10700	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
22	14563.25	22790	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
23	14905.57	14300	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
24	15771.7	22570	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
25	15279.73	21250	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
26	14322.35	16320	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
27	15507.17	12320	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
28	14552.08	22700	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
29	15003.15	13620	FORWARD	DPOP	ONLINE	10	16.0	0.9	10
