InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	15699.96	280	HYBRID	MGM	ONLINE	10	2.0	0.9	10
1	15565.26	110	HYBRID	MGM	ONLINE	10	2.0	0.9	10
2	15440.78	190	HYBRID	MGM	ONLINE	10	2.0	0.9	10
3	15228.81	230	HYBRID	MGM	ONLINE	10	2.0	0.9	10
4	14752.22	190	HYBRID	MGM	ONLINE	10	2.0	0.9	10
5	15631.14	190	HYBRID	MGM	ONLINE	10	2.0	0.9	10
6	14795.55	170	HYBRID	MGM	ONLINE	10	2.0	0.9	10
7	14944.12	210	HYBRID	MGM	ONLINE	10	2.0	0.9	10
8	15208.97	190	HYBRID	MGM	ONLINE	10	2.0	0.9	10
9	15387.43	150	HYBRID	MGM	ONLINE	10	2.0	0.9	10
10	14937.41	200	HYBRID	MGM	ONLINE	10	2.0	0.9	10
11	14852.48	240	HYBRID	MGM	ONLINE	10	2.0	0.9	10
12	15813.96	250	HYBRID	MGM	ONLINE	10	2.0	0.9	10
13	15550.71	240	HYBRID	MGM	ONLINE	10	2.0	0.9	10
14	14887.38	130	HYBRID	MGM	ONLINE	10	2.0	0.9	10
15	15071.95	180	HYBRID	MGM	ONLINE	10	2.0	0.9	10
16	14894.98	160	HYBRID	MGM	ONLINE	10	2.0	0.9	10
17	15898.37	170	HYBRID	MGM	ONLINE	10	2.0	0.9	10
18	15640.07	140	HYBRID	MGM	ONLINE	10	2.0	0.9	10
19	14649.58	140	HYBRID	MGM	ONLINE	10	2.0	0.9	10
20	15227.63	210	HYBRID	MGM	ONLINE	10	2.0	0.9	10
21	15273.59	150	HYBRID	MGM	ONLINE	10	2.0	0.9	10
22	15315.55	160	HYBRID	MGM	ONLINE	10	2.0	0.9	10
23	15189.5	240	HYBRID	MGM	ONLINE	10	2.0	0.9	10
24	15327.15	120	HYBRID	MGM	ONLINE	10	2.0	0.9	10
25	15029.65	200	HYBRID	MGM	ONLINE	10	2.0	0.9	10
26	15271.06	170	HYBRID	MGM	ONLINE	10	2.0	0.9	10
27	15436.97	160	HYBRID	MGM	ONLINE	10	2.0	0.9	10
28	15719.29	130	HYBRID	MGM	ONLINE	10	2.0	0.9	10
29	15007.24	220	HYBRID	MGM	ONLINE	10	2.0	0.9	10
