InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	12557.58	38520	REACT	DPOP	ONLINE	10	6.0	0.9	10
1	12490.25	3810	REACT	DPOP	ONLINE	10	6.0	0.9	10
2	13127.32	50730	REACT	DPOP	ONLINE	10	6.0	0.9	10
3	11830.38	821530	REACT	DPOP	ONLINE	10	6.0	0.9	10
4	12034.22	511030	REACT	DPOP	ONLINE	10	6.0	0.9	10
5	12035.57	3860	REACT	DPOP	ONLINE	10	6.0	0.9	10
6	12358.94	31890	REACT	DPOP	ONLINE	10	6.0	0.9	10
7	11621.06	32540	REACT	DPOP	ONLINE	10	6.0	0.9	10
8	11945.69	67440	REACT	DPOP	ONLINE	10	6.0	0.9	10
9	12441.72	2630	REACT	DPOP	ONLINE	10	6.0	0.9	10
10	11874.27	4010	REACT	DPOP	ONLINE	10	6.0	0.9	10
11	11560.88	60380	REACT	DPOP	ONLINE	10	6.0	0.9	10
12	12428.34	3890	REACT	DPOP	ONLINE	10	6.0	0.9	10
13	12289.29	971360	REACT	DPOP	ONLINE	10	6.0	0.9	10
14	11296.95	23390	REACT	DPOP	ONLINE	10	6.0	0.9	10
15	11705.23	20550	REACT	DPOP	ONLINE	10	6.0	0.9	10
16	11935.62	4340	REACT	DPOP	ONLINE	10	6.0	0.9	10
17	12405.57	3830	REACT	DPOP	ONLINE	10	6.0	0.9	10
18	12314.73	23070	REACT	DPOP	ONLINE	10	6.0	0.9	10
19	11166.66	22130	REACT	DPOP	ONLINE	10	6.0	0.9	10
20	11686.44	521600	REACT	DPOP	ONLINE	10	6.0	0.9	10
21	11977.08	1027340	REACT	DPOP	ONLINE	10	6.0	0.9	10
22	12431.13	3090	REACT	DPOP	ONLINE	10	6.0	0.9	10
23	11913.63	19580	REACT	DPOP	ONLINE	10	6.0	0.9	10
24	12011.71	32500	REACT	DPOP	ONLINE	10	6.0	0.9	10
25	12688.3	51610	REACT	DPOP	ONLINE	10	6.0	0.9	10
26	12028.68	22140	REACT	DPOP	ONLINE	10	6.0	0.9	10
27	11943.5	60350	REACT	DPOP	ONLINE	10	6.0	0.9	10
28	12624.87	39710	REACT	DPOP	ONLINE	10	6.0	0.9	10
29	11964.44	535870	REACT	DPOP	ONLINE	10	6.0	0.9	10
30	12358.87	2510	REACT	DPOP	ONLINE	10	6.0	0.9	10
31	11988.06	20720	REACT	DPOP	ONLINE	10	6.0	0.9	10
32	11519.71	42240	REACT	DPOP	ONLINE	10	6.0	0.9	10
33	11622.38	36750	REACT	DPOP	ONLINE	10	6.0	0.9	10
34	12027.75	566500	REACT	DPOP	ONLINE	10	6.0	0.9	10
35	11819.46	49570	REACT	DPOP	ONLINE	10	6.0	0.9	10
36	11845.75	50920	REACT	DPOP	ONLINE	10	6.0	0.9	10
37	12685.52	2840	REACT	DPOP	ONLINE	10	6.0	0.9	10
38	12233.77	2550	REACT	DPOP	ONLINE	10	6.0	0.9	10
39	11669.57	2540	REACT	DPOP	ONLINE	10	6.0	0.9	10
40	11513.92	3480	REACT	DPOP	ONLINE	10	6.0	0.9	10
41	11266.65	3990	REACT	DPOP	ONLINE	10	6.0	0.9	10
42	11931.27	38540	REACT	DPOP	ONLINE	10	6.0	0.9	10
43	12192.44	1670	REACT	DPOP	ONLINE	10	6.0	0.9	10
44	12087.23	5920	REACT	DPOP	ONLINE	10	6.0	0.9	10
45	12652.38	21800	REACT	DPOP	ONLINE	10	6.0	0.9	10
46	12350.97	20480	REACT	DPOP	ONLINE	10	6.0	0.9	10
47	11845.76	22390	REACT	DPOP	ONLINE	10	6.0	0.9	10
48	12710.9	23680	REACT	DPOP	ONLINE	10	6.0	0.9	10
49	12224.95	4380	REACT	DPOP	ONLINE	10	6.0	0.9	10
