InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	11850.67	260	REACT	MGM	ONLINE	10	6.0	0.9	10
1	12079.96	210	REACT	MGM	ONLINE	10	6.0	0.9	10
2	12228.52	190	REACT	MGM	ONLINE	10	6.0	0.9	10
3	11837.3	220	REACT	MGM	ONLINE	10	6.0	0.9	10
4	11502.56	130	REACT	MGM	ONLINE	10	6.0	0.9	10
5	11836.13	190	REACT	MGM	ONLINE	10	6.0	0.9	10
6	11585.48	150	REACT	MGM	ONLINE	10	6.0	0.9	10
7	11514.93	190	REACT	MGM	ONLINE	10	6.0	0.9	10
8	11812.62	150	REACT	MGM	ONLINE	10	6.0	0.9	10
9	11943.09	220	REACT	MGM	ONLINE	10	6.0	0.9	10
10	11589.31	180	REACT	MGM	ONLINE	10	6.0	0.9	10
11	11157.6	200	REACT	MGM	ONLINE	10	6.0	0.9	10
12	11750.17	260	REACT	MGM	ONLINE	10	6.0	0.9	10
13	11902.21	180	REACT	MGM	ONLINE	10	6.0	0.9	10
14	11125.51	150	REACT	MGM	ONLINE	10	6.0	0.9	10
15	11484.47	140	REACT	MGM	ONLINE	10	6.0	0.9	10
16	11360.19	150	REACT	MGM	ONLINE	10	6.0	0.9	10
17	11814.34	170	REACT	MGM	ONLINE	10	6.0	0.9	10
18	12120	190	REACT	MGM	ONLINE	10	6.0	0.9	10
19	10952.74	200	REACT	MGM	ONLINE	10	6.0	0.9	10
20	11553.77	210	REACT	MGM	ONLINE	10	6.0	0.9	10
21	11608.82	200	REACT	MGM	ONLINE	10	6.0	0.9	10
22	11768.54	170	REACT	MGM	ONLINE	10	6.0	0.9	10
23	11328.35	200	REACT	MGM	ONLINE	10	6.0	0.9	10
24	11774.62	170	REACT	MGM	ONLINE	10	6.0	0.9	10
25	11793.81	190	REACT	MGM	ONLINE	10	6.0	0.9	10
26	11754.36	190	REACT	MGM	ONLINE	10	6.0	0.9	10
27	11833.26	230	REACT	MGM	ONLINE	10	6.0	0.9	10
28	11766.52	190	REACT	MGM	ONLINE	10	6.0	0.9	10
29	11711.6	200	REACT	MGM	ONLINE	10	6.0	0.9	10
