InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	16435.43	37050	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
1	16441.56	3860	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
2	16520.33	49770	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
3	15671.51	794570	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
4	15508.46	485920	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
5	16006.24	3800	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
6	16287.08	32510	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
7	15649.63	31660	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
8	15780.6	65200	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
9	16261.55	2630	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
10	15800.29	3940	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
11	15257.7	57380	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
12	16645.75	3460	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
13	15899.54	952960	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
14	15313.95	22770	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
15	15526.4	19550	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
16	15269.4	3990	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
17	16526.36	3690	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
18	15965.21	22310	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
19	15235.2	21310	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
20	15444.37	499890	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
21	15417.72	989810	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
22	16009.53	3030	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
23	15395.98	19050	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
24	15914.66	31710	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
25	15923.62	49780	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
26	15714.6	21320	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
27	15979.94	48930	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
28	16229.52	39150	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
29	15339.91	513620	HYBRID	DPOP	ONLINE	10	70.0	0.9	10
