InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	10291.3	37780	REACT	DPOP	ONLINE	10	80.0	0.9	10
1	10636.42	3800	REACT	DPOP	ONLINE	10	80.0	0.9	10
2	11386.63	49980	REACT	DPOP	ONLINE	10	80.0	0.9	10
3	7984.12	798340	REACT	DPOP	ONLINE	10	80.0	0.9	10
4	9998.75	486830	REACT	DPOP	ONLINE	10	80.0	0.9	10
5	9208.22	3910	REACT	DPOP	ONLINE	10	80.0	0.9	10
6	10683.39	31450	REACT	DPOP	ONLINE	10	80.0	0.9	10
7	8914.36	31710	REACT	DPOP	ONLINE	10	80.0	0.9	10
8	10612.86	67330	REACT	DPOP	ONLINE	10	80.0	0.9	10
9	9200.34	2610	REACT	DPOP	ONLINE	10	80.0	0.9	10
10	10383.19	3950	REACT	DPOP	ONLINE	10	80.0	0.9	10
11	8604.7	58200	REACT	DPOP	ONLINE	10	80.0	0.9	10
12	10519.53	3930	REACT	DPOP	ONLINE	10	80.0	0.9	10
13	9592.17	935210	REACT	DPOP	ONLINE	10	80.0	0.9	10
14	7391.24	22780	REACT	DPOP	ONLINE	10	80.0	0.9	10
15	8502.31	19780	REACT	DPOP	ONLINE	10	80.0	0.9	10
16	8378.48	4180	REACT	DPOP	ONLINE	10	80.0	0.9	10
17	9832.94	3840	REACT	DPOP	ONLINE	10	80.0	0.9	10
18	8950.01	22590	REACT	DPOP	ONLINE	10	80.0	0.9	10
19	7428.94	21370	REACT	DPOP	ONLINE	10	80.0	0.9	10
20	8547.31	510020	REACT	DPOP	ONLINE	10	80.0	0.9	10
21	9243.23	1003770	REACT	DPOP	ONLINE	10	80.0	0.9	10
22	10303.98	3030	REACT	DPOP	ONLINE	10	80.0	0.9	10
23	8636.89	19220	REACT	DPOP	ONLINE	10	80.0	0.9	10
24	9510.97	32210	REACT	DPOP	ONLINE	10	80.0	0.9	10
25	9128.94	50700	REACT	DPOP	ONLINE	10	80.0	0.9	10
26	9548.52	22010	REACT	DPOP	ONLINE	10	80.0	0.9	10
27	8723.23	59030	REACT	DPOP	ONLINE	10	80.0	0.9	10
28	9216.05	39370	REACT	DPOP	ONLINE	10	80.0	0.9	10
29	8293.41	513030	REACT	DPOP	ONLINE	10	80.0	0.9	10
