InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	979.97	6640	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
1	900.45	3620	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
2	980.81	5570	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
3	1027.7	460	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
4	950.01	1540	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
5	995.48	1400	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
6	977.08	1170	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
7	981.85	1380	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
8	973.23	4030	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
9	1005.71	1300	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
10	963.19	1280	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
11	935.83	4700	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
12	963.91	1070	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
13	1003.05	870	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
14	971.82	4150	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
15	1000.32	1130	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
16	1075.96	4480	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
17	1008.24	8080	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
18	954.05	6410	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
19	1038.46	3850	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
20	1005.59	550	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
21	1016.56	880	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
22	993.78	1300	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
23	929.85	1850	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
24	933.57	5850	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
25	1005.67	1230	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
26	940.25	6630	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
27	958.11	5270	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
28	993.44	890	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
29	1033.06	1460	FORWARD	DPOP	ONLINE	12	40.0	0.8	4
