Horizon	Eff_Quality	Eff_SwitchingCost	Eff_SolvingTime	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	SwitchingCost	Horizon
-1	0	0	0	FORWARD	MGM	ONLINE	10	8.0	10
0	4585.8	0	1110	FORWARD	MGM	ONLINE	10	8.0	10
1	4253.6	96	0	FORWARD	MGM	ONLINE	10	8.0	10
2	4219.8	80	0	FORWARD	MGM	ONLINE	10	8.0	10
3	4367	64	0	FORWARD	MGM	ONLINE	10	8.0	10
4	4633.8	144	10	FORWARD	MGM	ONLINE	10	8.0	10
5	4343.6	48	10	FORWARD	MGM	ONLINE	10	8.0	10
6	4106.8	112	0	FORWARD	MGM	ONLINE	10	8.0	10
7	4125.2	64	0	FORWARD	MGM	ONLINE	10	8.0	10
8	4319.6	144	10	FORWARD	MGM	ONLINE	10	8.0	10
9	4636	112	0	FORWARD	MGM	ONLINE	10	8.0	10
10	4342.6	0	0	FORWARD	MGM	ONLINE	10	8.0	10
