InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	14038.57	21950	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
1	14491.77	24240	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
2	15586.86	1980	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
3	15055.43	13300	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
4	14132.39	1460	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
5	14142.23	14090	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
6	13785.41	29630	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
7	14856.17	2580	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
8	15038.93	2280	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
9	15302.52	29030	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
10	15466.06	6874870	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
11	14685.1	2730	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
12	14606.08	2560	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
13	14977.52	591240	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
14	14556.38	20470	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
15	14628.41	24020	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
16	15045.79	2150	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
17	15858.99	17100	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
18	14674.83	21260	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
19	14597.13	15450	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
20	15011.58	10420	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
21	14885.99	10840	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
22	14563.25	23550	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
23	14905.57	14560	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
24	15771.7	23080	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
25	15279.73	21840	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
26	14322.35	16790	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
27	15507.17	12580	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
28	14552.08	23290	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
29	15003.15	13870	FORWARD	DPOP	ONLINE	10	40.0	0.9	10
