InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	14023.78	21210	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
1	14530.44	24580	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
2	15563.57	2160	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
3	14949.76	12910	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
4	14153.48	1470	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
5	14168.54	13580	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
6	13859.27	28260	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
7	14800.59	2610	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
8	15005.94	2330	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
9	15258.83	28310	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
10	15435.26	6768300	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
11	14642.81	2840	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
12	14688.04	2740	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
13	15004.68	563820	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
14	14587.55	19880	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
15	14693.89	22960	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
16	15035.06	2090	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
17	15832.75	17040	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
18	14667.04	19580	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
19	14609.85	14930	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
20	15060.59	10430	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
21	14882.38	10790	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
22	14578.91	22670	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
23	14881.1	14280	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
24	15835.88	23730	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
25	15253.44	21460	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
26	14330	16280	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
27	15528.7	12210	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
28	14540.87	23470	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
29	15010.18	13470	HYBRID	DPOP	ONLINE	10	100.0	0.9	10
