InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	16475.17	38310	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
1	16372.35	3780	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
2	16562.79	51110	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
3	15529.3	820230	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
4	15489.61	497300	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
5	16028.68	3950	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
6	16259.16	31720	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
7	15628.02	31990	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
8	15672.62	66310	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
9	16292.19	2570	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
10	15754.81	4100	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
11	15254.75	59500	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
12	16638.77	3610	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
13	15790.53	973180	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
14	15239.85	23400	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
15	15575.08	19990	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
16	15299.44	4070	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
17	16630.44	3800	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
18	16025.93	22790	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
19	15095.91	21520	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
20	15701.2	521230	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
21	15639.79	1015770	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
22	16066.72	3100	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
23	15628.24	19460	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
24	15886.88	32410	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
25	15987.78	51410	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
26	15714.12	21860	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
27	15930.17	50360	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
28	16221.52	39590	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
29	15338.93	527970	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
30	16051.69	2560	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
31	15903.65	20290	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
32	15508.44	40310	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
33	15460.56	36390	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
34	15635.78	575250	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
35	15573.42	48230	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
36	15786.5	50330	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
37	16046.29	2710	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
38	15645.97	2470	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
39	15716.43	2630	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
40	15231.31	3400	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
41	14919.84	3990	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
42	15905.18	38470	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
43	15626.53	1670	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
44	15844.89	5870	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
45	16203.1	21470	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
46	16076.09	20420	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
47	15514.98	22170	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
48	16323.22	23580	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
49	16395.74	4240	FORWARD	DPOP	ONLINE	10	6.0	0.9	10
