InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	12638.04	38660	REACT	DPOP	ONLINE	10	2.0	0.9	10
1	12636.03	3660	REACT	DPOP	ONLINE	10	2.0	0.9	10
2	13216.9	51400	REACT	DPOP	ONLINE	10	2.0	0.9	10
3	11993	851760	REACT	DPOP	ONLINE	10	2.0	0.9	10
4	12204.95	502530	REACT	DPOP	ONLINE	10	2.0	0.9	10
5	12230.73	3980	REACT	DPOP	ONLINE	10	2.0	0.9	10
6	12501.66	31840	REACT	DPOP	ONLINE	10	2.0	0.9	10
7	11829.96	32350	REACT	DPOP	ONLINE	10	2.0	0.9	10
8	12109.34	67060	REACT	DPOP	ONLINE	10	2.0	0.9	10
9	12546.39	2640	REACT	DPOP	ONLINE	10	2.0	0.9	10
10	11954.19	4100	REACT	DPOP	ONLINE	10	2.0	0.9	10
11	11743.53	59830	REACT	DPOP	ONLINE	10	2.0	0.9	10
12	12571.86	4000	REACT	DPOP	ONLINE	10	2.0	0.9	10
13	12491.59	979310	REACT	DPOP	ONLINE	10	2.0	0.9	10
14	11480.43	23650	REACT	DPOP	ONLINE	10	2.0	0.9	10
15	11876.82	20280	REACT	DPOP	ONLINE	10	2.0	0.9	10
16	12110.88	4200	REACT	DPOP	ONLINE	10	2.0	0.9	10
17	12532.9	3840	REACT	DPOP	ONLINE	10	2.0	0.9	10
18	12480.57	22960	REACT	DPOP	ONLINE	10	2.0	0.9	10
19	11360.13	22170	REACT	DPOP	ONLINE	10	2.0	0.9	10
20	11856.29	522470	REACT	DPOP	ONLINE	10	2.0	0.9	10
21	12094.73	1035760	REACT	DPOP	ONLINE	10	2.0	0.9	10
22	12554.62	3150	REACT	DPOP	ONLINE	10	2.0	0.9	10
23	12046.42	19510	REACT	DPOP	ONLINE	10	2.0	0.9	10
24	12183.2	32450	REACT	DPOP	ONLINE	10	2.0	0.9	10
25	12822.72	52150	REACT	DPOP	ONLINE	10	2.0	0.9	10
26	12200.45	22390	REACT	DPOP	ONLINE	10	2.0	0.9	10
27	12088.72	60170	REACT	DPOP	ONLINE	10	2.0	0.9	10
28	12702.71	39870	REACT	DPOP	ONLINE	10	2.0	0.9	10
29	12148.02	532500	REACT	DPOP	ONLINE	10	2.0	0.9	10
30	12479.99	2580	REACT	DPOP	ONLINE	10	2.0	0.9	10
31	12143.82	20330	REACT	DPOP	ONLINE	10	2.0	0.9	10
32	11706.74	45280	REACT	DPOP	ONLINE	10	2.0	0.9	10
33	11796.75	36620	REACT	DPOP	ONLINE	10	2.0	0.9	10
34	12174.64	571110	REACT	DPOP	ONLINE	10	2.0	0.9	10
35	11998.28	48840	REACT	DPOP	ONLINE	10	2.0	0.9	10
36	12006.45	50590	REACT	DPOP	ONLINE	10	2.0	0.9	10
37	12782.55	2870	REACT	DPOP	ONLINE	10	2.0	0.9	10
38	12413.62	2530	REACT	DPOP	ONLINE	10	2.0	0.9	10
39	11815.26	2540	REACT	DPOP	ONLINE	10	2.0	0.9	10
40	11704.92	3300	REACT	DPOP	ONLINE	10	2.0	0.9	10
41	11460.05	3950	REACT	DPOP	ONLINE	10	2.0	0.9	10
42	12109.83	38350	REACT	DPOP	ONLINE	10	2.0	0.9	10
43	12334.42	1720	REACT	DPOP	ONLINE	10	2.0	0.9	10
44	12232.19	5960	REACT	DPOP	ONLINE	10	2.0	0.9	10
45	12772.63	21950	REACT	DPOP	ONLINE	10	2.0	0.9	10
46	12473.67	20380	REACT	DPOP	ONLINE	10	2.0	0.9	10
47	12012.19	22680	REACT	DPOP	ONLINE	10	2.0	0.9	10
48	12839.62	23350	REACT	DPOP	ONLINE	10	2.0	0.9	10
49	12368.59	4310	REACT	DPOP	ONLINE	10	2.0	0.9	10
