InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	16475.17	37400	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
1	16372.35	3750	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
2	16562.79	49660	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
3	15529.3	795710	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
4	15489.61	480990	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
5	16028.68	3820	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
6	16259.16	32260	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
7	15628.02	31670	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
8	15672.62	65660	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
9	16292.19	2640	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
10	15754.81	3890	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
11	15254.75	56890	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
12	16638.77	3540	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
13	15790.53	948700	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
14	15239.85	22710	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
15	15575.08	19580	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
16	15299.44	3850	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
17	16630.44	3730	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
18	16025.93	22220	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
19	15095.91	21210	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
20	15406.2	509470	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
21	15406.06	982920	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
22	16066.72	3040	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
23	15322.78	19090	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
24	15886.88	31490	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
25	15987.78	51520	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
26	15714.12	21330	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
27	15930.17	48770	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
28	16221.52	38910	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
29	15317.38	513390	FORWARD	DPOP	ONLINE	10	50.0	0.9	10
