InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	979.49	6670	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
1	898.58	3660	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
2	979.02	5540	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
3	1032.48	470	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
4	951.55	1570	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
5	997.88	1360	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
6	978.08	1220	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
7	974.98	1310	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
8	973.21	4080	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
9	1002.97	1310	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
10	959.48	1300	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
11	941.17	4670	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
12	964.07	1030	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
13	1008.43	880	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
14	968.83	4040	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
15	1002.01	1210	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
16	1078.54	4350	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
17	1004.24	8010	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
18	957.58	6400	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
19	1037.64	3800	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
20	1001.95	460	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
21	1022.8	930	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
22	991.71	1250	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
23	927.98	1760	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
24	931.16	2000	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
25	1003.88	1220	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
26	938.7	6660	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
27	959.66	5360	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
28	990.4	930	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
29	1041.25	1410	HYBRID	DPOP	ONLINE	12	40.0	0.8	4
