Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	10	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
0	-∞	70	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
1	-∞	100	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
2	-∞	130	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
3	-∞	150	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
4	-∞	150	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
5	-∞	160	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
6	-∞	170	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
7	-∞	180	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
8	-∞	190	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
9	-∞	200	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
10	-∞	210	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
11	-∞	230	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
12	-∞	240	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
13	-∞	260	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
14	-∞	270	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
15	-∞	280	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
16	-∞	290	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
17	-∞	300	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
18	-∞	310	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
19	-∞	320	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
20	-∞	320	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
21	-∞	320	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
22	-∞	330	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
23	-∞	340	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
24	-∞	360	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
25	-∞	370	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
26	-∞	370	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
27	-∞	380	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
28	-∞	390	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
29	-∞	400	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
30	-∞	410	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
31	-∞	430	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
32	-∞	430	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
33	-∞	430	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
34	-∞	430	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
35	-∞	440	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
36	-∞	450	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
37	-∞	460	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
38	-∞	470	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
39	-∞	480	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
40	-∞	490	19	FINITE_HORIZON	LS_RAND	DPOP	10	20.0	0.9	4
