Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	10	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
0	-∞	90	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
1	-∞	140	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
2	-∞	180	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
3	-∞	210	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
4	-∞	220	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
5	-∞	240	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
6	-∞	260	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
7	-∞	260	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
8	-∞	280	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
9	-∞	290	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
10	-∞	290	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
11	-∞	310	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
12	-∞	310	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
13	-∞	320	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
14	-∞	330	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
15	-∞	340	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
16	-∞	350	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
17	-∞	360	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
18	-∞	370	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
19	-∞	380	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
20	-∞	400	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
21	-∞	410	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
22	-∞	420	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
23	-∞	430	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
24	-∞	440	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
25	-∞	460	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
26	-∞	470	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
27	-∞	480	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
28	-∞	490	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
29	-∞	500	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
30	-∞	510	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
31	-∞	520	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
32	-∞	540	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
33	-∞	550	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
34	-∞	570	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
35	-∞	580	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
36	-∞	600	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
37	-∞	600	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
38	-∞	610	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
39	-∞	630	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
40	-∞	640	14	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
