Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	690	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
0	-∞	760	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
1	-∞	810	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
2	-∞	840	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
3	-∞	850	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
4	-∞	850	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
5	-∞	850	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
6	-∞	860	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
7	-∞	870	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
8	-∞	870	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
9	-∞	880	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
10	-∞	890	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
11	-∞	910	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
12	-∞	920	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
13	-∞	930	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
14	-∞	940	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
15	-∞	960	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
16	-∞	970	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
17	-∞	970	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
18	-∞	980	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
19	-∞	980	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
20	-∞	990	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
21	-∞	1010	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
22	-∞	1020	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
23	-∞	1020	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
24	-∞	1030	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
25	-∞	1040	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
26	-∞	1050	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
27	-∞	1050	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
28	-∞	1060	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
29	-∞	1070	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
30	-∞	1070	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
31	-∞	1090	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
32	-∞	1100	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
33	-∞	1110	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
34	-∞	1110	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
35	-∞	1120	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
36	-∞	1130	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
37	-∞	1140	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
38	-∞	1140	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
39	-∞	1150	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
40	-∞	1160	22	FINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
