InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	60	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
1	-∞	50	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
2	-∞	60	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
3	-∞	50	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
4	-∞	50	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
5	-∞	70	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
6	-∞	60	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
7	-∞	30	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
8	-∞	40	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
9	-∞	40	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
10	-∞	40	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
11	-∞	30	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
12	-∞	60	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
13	-∞	40	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
14	-∞	40	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
15	-∞	70	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
16	-∞	10	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
17	-∞	30	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
18	-∞	70	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
19	-∞	60	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
20	-∞	60	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
21	-∞	50	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
22	-∞	50	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
23	-∞	40	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
24	-∞	30	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
25	-∞	30	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
26	-∞	50	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
27	-∞	50	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
28	-∞	40	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
29	-∞	30	LS_SDPOP	MGM	FINITE_HORIZON	10	20.0	0.9	4
