InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
1	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
2	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
3	-∞	40	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
4	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
5	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
6	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
7	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
8	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
9	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
10	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
11	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
12	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
13	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
14	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
15	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
16	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
17	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
18	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
19	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
20	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
21	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
22	-∞	30	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
23	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
24	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
25	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
26	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
27	-∞	20	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
28	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
29	-∞	10	LS_RAND	DPOP	FINITE_HORIZON	10	50.0	0.9	4
