Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	20	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
0	-∞	60	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
1	-∞	70	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
2	-∞	90	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
3	-∞	100	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
4	-∞	120	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
5	-∞	120	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
6	-∞	130	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
7	-∞	140	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
8	-∞	150	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
9	-∞	160	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
10	-∞	160	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
11	-∞	170	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
12	-∞	180	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
13	-∞	180	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
14	-∞	180	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
15	-∞	180	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
16	-∞	180	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
17	-∞	190	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
18	-∞	200	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
19	-∞	200	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
20	-∞	210	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
21	-∞	230	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
22	-∞	240	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
23	-∞	250	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
24	-∞	260	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
25	-∞	260	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
26	-∞	270	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
27	-∞	270	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
28	-∞	280	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
29	-∞	290	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
30	-∞	300	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
31	-∞	320	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
32	-∞	320	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
33	-∞	320	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
34	-∞	340	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
35	-∞	350	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
36	-∞	350	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
37	-∞	360	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
38	-∞	360	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
39	-∞	360	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
40	-∞	370	22	INFINITE_HORIZON	LS_RAND	DPOP	10	60.0	0.9	4
