Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	210	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
0	-∞	240	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
1	-∞	260	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
2	-∞	270	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
3	-∞	280	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
4	-∞	300	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
5	-∞	310	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
6	-∞	320	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
7	-∞	350	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
8	-∞	360	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
9	-∞	380	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
10	-∞	390	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
11	-∞	390	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
12	-∞	400	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
13	-∞	410	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
14	-∞	410	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
15	-∞	420	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
16	-∞	430	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
17	-∞	450	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
18	-∞	450	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
19	-∞	460	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
20	-∞	460	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
21	-∞	480	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
22	-∞	500	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
23	-∞	510	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
24	-∞	530	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
25	-∞	530	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
26	-∞	530	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
27	-∞	550	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
28	-∞	560	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
29	-∞	570	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
30	-∞	570	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
31	-∞	580	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
32	-∞	590	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
33	-∞	600	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
34	-∞	610	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
35	-∞	630	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
36	-∞	640	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
37	-∞	640	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
38	-∞	650	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
39	-∞	660	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
40	-∞	660	9	INFINITE_HORIZON	LS_RAND	MGM	10	90.0	0.9	4
