Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-∞	750	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
0	-∞	790	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
1	-∞	810	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
2	-∞	830	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
3	-∞	850	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
4	-∞	870	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
5	-∞	890	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
6	-∞	910	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
7	-∞	930	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
8	-∞	950	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
9	-∞	950	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
10	-∞	960	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
11	-∞	960	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
12	-∞	980	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
13	-∞	990	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
14	-∞	1000	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
15	-∞	1000	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
16	-∞	1010	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
17	-∞	1010	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
18	-∞	1030	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
19	-∞	1030	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
20	-∞	1040	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
21	-∞	1040	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
22	-∞	1040	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
23	-∞	1050	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
24	-∞	1050	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
25	-∞	1070	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
26	-∞	1070	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
27	-∞	1070	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
28	-∞	1080	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
29	-∞	1090	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
30	-∞	1090	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
31	-∞	1100	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
32	-∞	1100	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
33	-∞	1100	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
34	-∞	1110	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
35	-∞	1120	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
36	-∞	1120	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
37	-∞	1130	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
38	-∞	1130	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
39	-∞	1130	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
40	-∞	1140	7	INFINITE_HORIZON	LS_SDPOP	MGM	10	50.0	0.9	4
