InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
1	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
2	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
3	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
4	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
5	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
6	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
7	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
8	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
9	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
10	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
11	-∞	60	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
12	-∞	50	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
13	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
14	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
15	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
16	-∞	60	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
17	-∞	60	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
18	-∞	60	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
19	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
20	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
21	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
22	-∞	50	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
23	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
24	-∞	50	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
25	-∞	50	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
26	-∞	60	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
27	-∞	50	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
28	-∞	30	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
29	-∞	40	LS_SDPOP	MGM	INFINITE_HORIZON	10	50.0	0.9	4
