Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	1133.7	20	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
0	1200.43	120	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
1	1250.27	190	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
2	1275.56	220	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
3	1288.11	240	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
4	1290.43	250	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
5	1293.82	260	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
6	1304.67	270	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
7	1306.14	280	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
8	1306.14	290	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
9	1306.14	300	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
10	1306.14	320	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
11	1306.14	340	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
12	1306.14	340	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
13	1306.14	350	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
14	1306.14	370	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
15	1306.14	370	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
16	1306.14	380	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
17	1306.14	390	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
18	1306.14	400	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
19	1306.14	400	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
20	1306.14	410	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
21	1306.14	420	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
22	1306.14	440	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
23	1306.14	450	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
24	1306.14	470	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
25	1306.14	480	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
26	1306.14	490	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
27	1306.14	500	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
28	1306.14	520	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
29	1306.14	540	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
30	1306.14	550	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
31	1306.14	550	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
32	1306.14	570	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
33	1306.14	580	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
34	1306.14	590	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
35	1306.14	610	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
36	1306.14	610	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
37	1306.14	630	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
38	1306.14	640	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
39	1306.14	650	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
40	1306.14	660	13	FINITE_HORIZON	LS_RAND	DPOP	10	0.0	0.9	4
