Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	931.8	20	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
0	1215.38	110	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
1	1314.31	170	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
2	1432.93	210	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
3	1492.58	260	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
4	1518.15	270	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
5	1534.53	300	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
6	1570.47	320	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
7	1601.34	320	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
8	1619.21	340	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
9	1632.01	340	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
10	1632.01	360	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
11	1632.01	380	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
12	1632.01	400	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
13	1632.01	420	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
14	1632.01	440	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
15	1632.01	460	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
16	1632.01	480	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
17	1632.01	500	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
18	1632.01	520	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
19	1632.01	550	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
20	1632.01	560	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
21	1632.01	580	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
22	1632.01	590	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
23	1632.01	610	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
24	1632.01	630	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
25	1632.01	640	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
26	1632.01	650	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
27	1632.01	660	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
28	1632.01	680	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
29	1632.01	700	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
30	1632.01	720	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
31	1632.01	730	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
32	1632.01	750	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
33	1632.01	760	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
34	1632.01	770	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
35	1632.01	790	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
36	1632.01	800	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
37	1632.01	830	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
38	1632.01	830	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
39	1632.01	850	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
40	1632.01	850	4	FINITE_HORIZON	LS_RAND	MGM	10	10.0	0.9	4
