Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	1757.44	280	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
0	1757.44	370	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
1	1757.44	410	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
2	1757.44	450	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
3	1757.44	460	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
4	1757.44	470	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
5	1757.44	480	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
6	1757.44	490	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
7	1757.44	510	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
8	1757.44	510	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
9	1757.44	520	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
10	1757.44	530	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
11	1757.44	540	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
12	1757.44	560	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
13	1757.44	570	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
14	1757.44	590	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
15	1757.44	600	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
16	1757.44	610	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
17	1757.44	620	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
18	1757.44	630	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
19	1757.44	650	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
20	1757.44	650	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
21	1757.44	660	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
22	1757.44	680	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
23	1757.44	690	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
24	1757.44	700	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
25	1757.44	710	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
26	1757.44	720	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
27	1757.44	730	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
28	1757.44	740	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
29	1757.44	750	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
30	1757.44	760	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
31	1757.44	780	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
32	1757.44	790	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
33	1757.44	790	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
34	1757.44	810	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
35	1757.44	820	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
36	1757.44	840	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
37	1757.44	860	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
38	1757.44	880	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
39	1757.44	880	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
40	1757.44	890	19	FINITE_HORIZON	LS_SDPOP	DPOP	10	120.0	0.9	4
