Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	179.67	830	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
0	678.12	900	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
1	795.16	960	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
2	905.31	980	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
3	905.31	1000	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
4	905.31	1010	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
5	905.31	1030	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
6	905.31	1030	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
7	905.31	1050	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
8	905.31	1060	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
9	905.31	1080	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
10	905.31	1090	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
11	905.31	1100	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
12	905.31	1110	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
13	905.31	1120	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
14	905.31	1130	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
15	905.31	1140	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
16	905.31	1150	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
17	905.31	1150	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
18	905.31	1160	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
19	905.31	1170	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
20	905.31	1180	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
21	905.31	1190	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
22	905.31	1200	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
23	905.31	1200	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
24	905.31	1210	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
25	905.31	1220	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
26	905.31	1240	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
27	905.31	1250	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
28	905.31	1260	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
29	905.31	1270	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
30	905.31	1280	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
31	905.31	1290	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
32	905.31	1300	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
33	905.31	1320	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
34	905.31	1330	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
35	905.31	1340	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
36	905.31	1350	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
37	905.31	1360	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
38	905.31	1360	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
39	905.31	1370	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
40	905.31	1380	3	FINITE_HORIZON	LS_SDPOP	MGM	10	130.0	0.9	4
