InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1776.84	310	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
1	1448.35	230	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
2	1740.45	220	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
3	1646.14	280	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
4	1623.45	300	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
5	1542.28	250	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
6	1626.1	280	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
7	1701.64	290	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
8	833.18	210	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
9	1343.32	250	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
10	1637.92	280	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
11	1659.38	250	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
12	1668.53	280	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
13	1676.43	320	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
14	1698.89	300	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
15	1592.23	330	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
16	1008.89	240	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
17	1252.98	250	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
18	1626.49	280	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
19	1665.97	200	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
20	1666.72	280	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
21	1835.86	260	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
22	1333.18	250	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
23	1245.78	210	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
24	1568.46	270	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
25	1722.42	270	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
26	1618.49	240	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
27	1665.97	310	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
28	1614.59	260	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
29	1722.82	240	LS_RAND	MGM	FINITE_HORIZON	10	130.0	0.9	4
