InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	1608.35	280	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
1	1741.01	240	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
2	832.71	170	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
3	169.74	100	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
4	-19.93	230	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
5	1671.92	240	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
6	298.79	90	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
7	1675.68	320	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
8	1793.13	280	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
9	-1064.84	140	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
10	1613.95	300	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
11	1659.38	290	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
12	1095.84	260	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
13	1425.18	290	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
14	1376.76	230	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
15	1403.98	340	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
16	1525.72	320	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
17	826.52	130	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
18	-483.02	230	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
19	-1165.12	110	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
20	1699.89	290	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
21	-165.87	120	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
22	-498.16	190	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
23	1573.96	310	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
24	1724.58	320	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
25	1709.17	350	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
26	1672.46	250	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
27	-225.56	80	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
28	1614.59	270	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
29	1385.1	320	LS_SDPOP	MGM	FINITE_HORIZON	10	200.0	0.9	4
