Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-1589.01	20	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
0	-1212.75	70	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
1	-417.73	90	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
2	-311.58	110	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
3	161.47	130	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
4	161.47	150	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
5	161.47	170	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
6	161.47	190	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
7	161.47	210	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
8	161.47	220	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
9	161.47	230	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
10	161.47	240	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
11	161.47	250	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
12	161.47	260	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
13	161.47	270	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
14	161.47	290	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
15	161.47	300	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
16	161.47	300	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
17	161.47	310	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
18	161.47	320	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
19	161.47	330	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
20	161.47	340	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
21	161.47	360	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
22	161.47	370	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
23	161.47	370	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
24	161.47	380	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
25	161.47	390	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
26	161.47	410	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
27	161.47	420	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
28	161.47	430	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
29	161.47	450	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
30	161.47	450	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
31	161.47	450	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
32	161.47	460	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
33	161.47	470	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
34	161.47	480	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
35	161.47	490	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
36	161.47	500	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
37	161.47	500	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
38	161.47	510	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
39	161.47	520	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
40	161.47	530	17	INFINITE_HORIZON	LS_RAND	DPOP	10	100.0	0.9	4
