Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-3245.88	220	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
0	-2450.24	260	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
1	-1575.45	280	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
2	-1258.85	310	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
3	-626.81	320	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
4	-626.81	330	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
5	-626.81	350	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
6	-27.53	370	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
7	-6.38	380	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
8	-6.38	400	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
9	-6.38	420	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
10	-6.38	430	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
11	-6.38	450	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
12	-6.38	460	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
13	-6.38	470	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
14	-6.38	480	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
15	-6.38	490	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
16	-6.38	500	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
17	-6.38	500	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
18	-6.38	510	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
19	-6.38	520	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
20	-6.38	530	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
21	-6.38	540	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
22	-6.38	540	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
23	-6.38	550	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
24	-6.38	550	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
25	-6.38	570	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
26	-6.38	570	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
27	-6.38	580	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
28	-6.38	590	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
29	-6.38	590	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
30	-6.38	590	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
31	-6.38	610	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
32	-6.38	610	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
33	-6.38	620	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
34	-6.38	620	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
35	-6.38	620	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
36	-6.38	620	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
37	-6.38	630	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
38	-6.38	640	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
39	-6.38	640	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
40	-6.38	650	2	INFINITE_HORIZON	LS_RAND	MGM	10	160.0	0.9	4
