Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-4986.44	530	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
0	-4986.44	590	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
1	-4986.44	600	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
2	-4986.44	610	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
3	-4986.44	630	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
4	-4986.44	660	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
5	-4986.44	670	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
6	-4986.44	680	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
7	-4986.44	690	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
8	-4986.44	700	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
9	-4986.44	710	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
10	-4986.44	710	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
11	-4986.44	710	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
12	-4986.44	720	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
13	-4986.44	740	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
14	-4986.44	740	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
15	-4986.44	740	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
16	-4986.44	750	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
17	-4986.44	750	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
18	-4986.44	760	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
19	-4986.44	770	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
20	-4986.44	770	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
21	-4986.44	780	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
22	-4986.44	790	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
23	-4986.44	810	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
24	-4986.44	820	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
25	-4986.44	830	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
26	-4986.44	840	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
27	-4986.44	850	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
28	-4986.44	850	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
29	-4986.44	860	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
30	-4986.44	870	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
31	-4986.44	870	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
32	-4986.44	870	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
33	-4986.44	880	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
34	-4986.44	890	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
35	-4986.44	890	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
36	-4986.44	910	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
37	-4986.44	910	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
38	-4986.44	920	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
39	-4986.44	930	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
40	-4986.44	930	17	INFINITE_HORIZON	LS_SDPOP	DPOP	10	350.0	0.9	4
