Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	-1331.71	1030	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
0	-941.97	1070	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
1	-542.35	1090	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
2	-322.53	1100	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
3	-174.33	1120	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
4	30.14	1130	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
5	30.14	1150	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
6	30.14	1170	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
7	30.14	1190	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
8	30.14	1210	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
9	30.14	1220	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
10	30.14	1220	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
11	30.14	1230	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
12	30.14	1230	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
13	30.14	1240	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
14	30.14	1250	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
15	30.14	1250	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
16	30.14	1250	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
17	30.14	1250	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
18	30.14	1260	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
19	30.14	1260	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
20	30.14	1270	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
21	30.14	1270	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
22	30.14	1280	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
23	30.14	1280	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
24	30.14	1280	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
25	30.14	1290	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
26	30.14	1290	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
27	30.14	1300	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
28	30.14	1310	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
29	30.14	1310	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
30	30.14	1310	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
31	30.14	1330	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
32	30.14	1330	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
33	30.14	1340	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
34	30.14	1360	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
35	30.14	1360	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
36	30.14	1370	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
37	30.14	1370	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
38	30.14	1380	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
39	30.14	1390	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
40	30.14	1390	24	INFINITE_HORIZON	LS_SDPOP	MGM	10	100.0	0.9	4
