InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	2.22	230	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
1	515.98	170	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
2	721.45	240	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
3	427.37	230	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
4	-726.46	130	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
5	42.14	160	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
6	502.17	250	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
7	-201.28	200	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
8	107.12	130	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
9	402.92	190	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
10	680.92	200	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
11	-503.04	210	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
12	674.55	200	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
13	526.17	160	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
14	159.29	230	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
15	622.65	290	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
16	-540.46	120	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
17	696.57	140	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
18	330.42	200	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
19	731.23	210	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
20	256.48	220	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
21	323.11	250	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
22	95.24	240	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
23	-703.28	110	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
24	715.29	220	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
25	211.98	200	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
26	248.95	160	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
27	413.83	200	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
28	415.72	180	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
29	536.26	180	LS_SDPOP	MGM	INFINITE_HORIZON	10	120.0	0.9	4
