InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-60.51	150	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
1	322.57	190	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
2	-494.8	120	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
3	108.12	170	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
4	-262.33	120	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
5	-0.93	180	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
6	-100.27	140	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
7	187.3	190	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
8	-204.89	150	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
9	-119.86	180	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
10	186.64	150	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
11	190.34	270	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
12	-107.83	170	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
13	-99.31	170	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
14	-482.58	160	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
15	-342.52	170	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
16	-764.64	140	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
17	8.38	150	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
18	-103.1	200	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
19	129.8	150	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
20	178.35	180	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
21	-561.05	150	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
22	124.52	220	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
23	53.63	110	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
24	314.12	180	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
25	92.04	210	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
26	91.9	230	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
27	-84.7	160	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
28	-110.14	190	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
29	4.6	140	LS_RAND	DPOP	INFINITE_HORIZON	10	130.0	0.9	4
