InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	-306.52	220	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
1	-578.83	190	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
2	-321.56	170	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
3	-97.84	230	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
4	-230.08	150	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
5	51.6	190	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
6	-112.68	220	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
7	-945.06	170	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
8	-47.48	140	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
9	-231.68	170	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
10	47.24	200	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
11	-1002.57	160	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
12	-86.35	190	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
13	-71.48	100	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
14	142.59	200	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
15	-1424.64	140	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
16	-1026.18	110	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
17	44.11	120	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
18	-84.4	190	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
19	-176.9	180	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
20	-450.7	170	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
21	72.26	210	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
22	-308.26	200	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
23	-1234.87	90	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
24	-1544.56	170	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
25	-492.82	200	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
26	-61.92	160	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
27	-233.08	210	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
28	-75.54	190	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
29	49.26	200	LS_RAND	MGM	INFINITE_HORIZON	10	170.0	0.9	4
