InstanceID	Utility	Time (ms)	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
0	740.01	90	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
1	707.73	90	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
2	721.45	170	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
3	706.7	210	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
4	686.47	340	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
5	464.87	410	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
6	686.92	120	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
7	707.17	380	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
8	744.04	390	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
9	385.08	180	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
10	-87.87	160	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
11	690.69	360	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
12	690.52	480	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
13	613.27	160	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
14	522.87	360	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
15	804.56	280	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
16	653.89	130	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
17	-108.44	480	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
18	681.39	60	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
19	731.23	260	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
20	-160.66	150	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
21	765.95	260	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
22	728.7	130	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
23	688.69	1020	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
24	715.29	120	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
25	720.23	260	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
26	695.7	110	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
27	723.15	310	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
28	673.07	150	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
29	714.21	130	LS_SDPOP	DPOP	INFINITE_HORIZON	10	50.0	0.9	4
